Date,Category,Description,Amount
2023-01-01,Groceries,Groceries,110.76
2023-01-01,Miscellaneous,Misc Expense,88.83
2023-01-01,Utilities,Utility Bill,106.24
2023-01-02,Office Travel,Office Travel,175.34
2023-01-03,Entertainment,Entertainment,95.41
2023-01-03,Insurance,Insurance Payment,176.32
2023-01-03,Miscellaneous,Misc Expense,53.74
2023-01-03,Rent,Monthly Rent,1500.00
2023-01-04,Internet,Internet Bill,60.00
2023-01-04,Utilities,Utility Bill,125.59
2023-01-05,Office Travel,Office Travel,311.41
2023-01-06,Entertainment,Entertainment,115.12
2023-01-06,Internet,Internet Bill,60.00
2023-01-06,Office Travel,Office Travel,282.19
2023-01-07,Entertainment,Entertainment,94.30
2023-01-07,Groceries,Groceries,68.61
2023-01-07,Miscellaneous,Misc Expense,68.49
2023-01-08,Groceries,Groceries,86.24
2023-01-08,Rent,Monthly Rent,1500.00
2023-01-08,Vacation,Vacation Expense,1431.03
2023-01-09,Dining,Dining Out,27.28
2023-01-09,Entertainment,Entertainment,95.01
2023-01-09,Groceries,Groceries,52.06
2023-01-10,Insurance,Insurance Payment,131.63
2023-01-10,Office Travel,Office Travel,329.21
2023-01-10,Office Travel,Office Travel,390.19
2023-01-10,Utilities,Utility Bill,182.64
2023-01-11,Dining,Dining Out,51.05
2023-01-11,Transportation,Public Transport or Fuel,17.77
2023-01-12,Dining,Dining Out,51.86
2023-01-12,Internet,Internet Bill,60.00
2023-01-13,Internet,Internet Bill,60.00
2023-01-13,Office Travel,Office Travel,302.37
2023-01-13,Office Travel,Office Travel,407.43
2023-01-13,Transportation,Public Transport or Fuel,13.31
2023-01-13,Transportation,Public Transport or Fuel,59.48
2023-01-14,Rent,Monthly Rent,1500.00
2023-01-15,Entertainment,Entertainment,41.40
2023-01-15,Office Travel,Office Travel,508.76
2023-01-16,Rent,Monthly Rent,1500.00
2023-01-17,Utilities,Utility Bill,184.46
2023-01-17,Vacation,Vacation Expense,234.50
2023-01-18,Entertainment,Entertainment,42.59
2023-01-18,Groceries,Groceries,54.46
2023-01-18,Insurance,Insurance Payment,144.09
2023-01-18,Rent,Monthly Rent,1500.00
2023-01-19,Dining,Dining Out,53.75
2023-01-19,Insurance,Insurance Payment,279.56
2023-01-19,Transportation,Public Transport or Fuel,50.47
2023-01-20,Internet,Internet Bill,60.00
2023-01-20,Office Travel,Office Travel,144.13
2023-01-20,Transportation,Public Transport or Fuel,50.36
2023-01-21,Miscellaneous,Misc Expense,60.13
2023-01-21,Utilities,Utility Bill,83.00
2023-01-22,Internet,Internet Bill,60.00
2023-01-22,Miscellaneous,Misc Expense,20.31
2023-01-23,Dining,Dining Out,54.21
2023-01-23,Office Travel,Office Travel,406.42
2023-01-24,Dining,Dining Out,23.99
2023-01-24,Healthcare,Medical Expense,157.25
2023-01-24,Utilities,Utility Bill,161.20
2023-01-25,Office Travel,Office Travel,237.10
2023-01-26,Internet,Internet Bill,60.00
2023-01-27,Rent,Monthly Rent,1500.00
2023-01-28,Internet,Internet Bill,60.00
2023-01-28,Utilities,Utility Bill,125.62
2023-01-28,Utilities,Utility Bill,98.34
2023-01-28,Vacation,Vacation Expense,750.08
2023-01-29,Entertainment,Entertainment,24.13
2023-01-29,Entertainment,Entertainment,93.84
2023-01-29,Transportation,Public Transport or Fuel,21.97
2023-01-30,Entertainment,Entertainment,111.44
2023-01-30,Insurance,Insurance Payment,115.76
2023-01-30,Vacation,Vacation Expense,1339.28
2023-01-31,Internet,Internet Bill,60.00
2023-02-01,Internet,Internet Bill,60.00
2023-02-01,Utilities,Utility Bill,89.03
2023-02-01,Vacation,Vacation Expense,920.10
2023-02-02,Miscellaneous,Misc Expense,38.22
2023-02-02,Vacation,Vacation Expense,1156.46
2023-02-02,Vacation,Vacation Expense,306.58
2023-02-02,Vacation,Vacation Expense,819.83
2023-02-03,Dining,Dining Out,24.15
2023-02-03,Dining,Dining Out,35.32
2023-02-03,Entertainment,Entertainment,37.38
2023-02-03,Entertainment,Entertainment,39.99
2023-02-03,Office Travel,Office Travel,282.97
